"","TOWNCODE","v39","v38","v37","v36","v35","v34","v33","v32","v31","v22","v20","v19","v18","v17","v16","v15","v14","v13","v12","v11","v10","v9","v8","v7"
"96",10010160,4,1,4,2,4,3,3,2,3,10,10,10,5,5,5,5,10,0,5,10,0,2,2,8
"97",10010180,1,1,1,3,1,2,1,1,1,5,5,5,3,5,5,5,5,5,5,10,10,0,8,8
"98",10013010,1.94871794871795,2.84615384615385,2.76923076923077,2.34210526315789,2.02631578947368,2.47222222222222,2.26315789473684,1.94736842105263,1.89189189189189,7.31818181818182,6.51282051282051,6.56410256410256,6.48717948717949,6.07894736842105,6.58974358974359,6.87179487179487,6.68421052631579,6.57894736842105,6.8974358974359,7.23076923076923,6.56410256410256,2.8974358974359,3.94871794871795,6.46153846153846
"99",10013020,2.11111111111111,3.1,3.1,2.6,2.22222222222222,2.55555555555556,2.44444444444444,2,2.44444444444444,7.42857142857143,6.4,6.2,6.4,6.2,7.3,7,6.1,6.9,7.1,6.7,7.6,1.7,2.6,6.9
"100",10013040,2.5,3.21428571428571,3.5,2.42857142857143,2.21428571428571,2.64285714285714,2.35714285714286,2,2.14285714285714,6.88888888888889,7.57142857142857,7.21428571428571,7.07142857142857,7.35714285714286,8,7.21428571428571,6.78571428571429,6.78571428571429,7.14285714285714,6.42857142857143,6.64285714285714,1.71428571428571,3,7.78571428571429
"101",10013050,1.5,3,2.66666666666667,2,2,2.5,2,2,1.5,5.5,7,6,6,7,6.33333333333333,7.66666666666667,4.33333333333333,6.33333333333333,5.66666666666667,4.66666666666667,5.5,2.33333333333333,4.66666666666667,6.33333333333333
"102",10013070,2,4,4,2,2,3,2,2,2,10,10,5,7,7,10,10,9,10,8,6,5,7,10,4
"103",10013080,2,3,2.33333333333333,1,2,3,1.33333333333333,1.33333333333333,1.66666666666667,8.5,6.66666666666667,7.33333333333333,7,7,3,7.33333333333333,5.33333333333333,6.66666666666667,7,6,3.33333333333333,5.33333333333333,3.5,4
"104",10013100,2.33333333333333,3.66666666666667,3.33333333333333,2.66666666666667,2.33333333333333,3,2.5,2.33333333333333,2.33333333333333,7.33333333333333,7,7.66666666666667,6.66666666666667,7,8,7.66666666666667,7,7.33333333333333,7,8,5.66666666666667,3.66666666666667,1.66666666666667,6.33333333333333
"105",10013110,2.5,2.5,3.5,3.33333333333333,2,2,2,1,2,10,9,9,7.66666666666667,8,7.66666666666667,9,6.5,10,7,7.33333333333333,6,0,1.5,6
"106",10013130,2,3,2.875,2.125,2,2.5,2.375,1.625,1.875,7,7.25,6.875,6.375,7,7.5,6.625,5.875,6.125,6.25,5.875,7.125,2.625,4.25,7.125
"107",10013140,2.25,2.5,2.75,2,1.5,3,3.25,2,2.25,8.33333333333333,8.25,7.5,7,6.5,7.5,7.25,7.25,6,7,6.5,7.5,2.25,2.5,7
"108",10013150,3,3,4,3,2,3,4,3,3,8,9,7,8,8,8,7,7,8,8,8,8,1,2,8
"109",10013160,1.66666666666667,3.33333333333333,2.66666666666667,2.33333333333333,2.33333333333333,2.66666666666667,1.66666666666667,1.66666666666667,2,6,6,5,5.33333333333333,5,7,6.66666666666667,5.33333333333333,7,6,6,6,3.33333333333333,3,6.33333333333333
"110",10013170,2,3.4,2.6,2,2,3.2,2.25,1.8,2.25,7.2,6.2,6,6.4,6.6,6.2,5.6,5.8,7,5.8,7,6.8,1.6,2,8.4
"111",10013190,2,4,4,3,3,3,2,2,2,8,6,5,8,7,8,5,6,9,6,6,5,3,5,7
"112",10013210,1.66666666666667,3,3,2.66666666666667,2,2.66666666666667,2.33333333333333,1.66666666666667,2.66666666666667,6.5,5,6.33333333333333,6.33333333333333,4.33333333333333,5.66666666666667,4.33333333333333,6,4.33333333333333,4.33333333333333,6.33333333333333,4.33333333333333,4,7.66666666666667,6.66666666666667
"113",10013230,2.66666666666667,2.33333333333333,2.33333333333333,2,1.66666666666667,2.33333333333333,2,1.66666666666667,1.66666666666667,8,8.33333333333333,7.66666666666667,6.66666666666667,6.33333333333333,7,6.66666666666667,6.33333333333333,7.33333333333333,6,6.33333333333333,5,5.66666666666667,5,7
"114",10013300,2,4,3,1,1,1,3,2,2,9,6,9,9,9,9,9,8,9,7,6,8,0,2,8
"115",10013360,2.8,3.2,3.2,2.2,1.8,2.6,2.2,1.8,2.4,7.75,6.2,6.8,7.4,4.8,6.8,6.8,6.4,6,5.4,5.6,5.4,2.8,3.6,5.8
"116",10014010,1.88888888888889,2.94444444444444,3.22222222222222,2.11111111111111,1.77777777777778,2.72222222222222,2.11111111111111,2.05555555555556,1.88888888888889,7.36363636363636,7.5,7.83333333333333,6.22222222222222,6.23529411764706,7.11111111111111,7.22222222222222,6.11111111111111,7.05555555555556,6.77777777777778,7.16666666666667,7.05555555555556,2.11111111111111,3,7.38888888888889
"117",10014020,1,2,3,2,2,2,2,3,1,9,10,9,9,9,9,9,6,3,9,9,8,5,6,9
"118",10014030,2.66666666666667,2.66666666666667,2,2.33333333333333,2,2.33333333333333,2,2,2,10,8,4.33333333333333,4.33333333333333,7.33333333333333,6.66666666666667,5.33333333333333,5.66666666666667,5.66666666666667,5.66666666666667,6,5,6.66666666666667,5,5.66666666666667
"119",10014070,2,3,3,3,2.5,2.5,2,1,2,10,7.5,10,9,6,10,8.5,10,6.5,9,10,10,1,1,8.5
"120",10015010,2.2,2.9,3.2,2.1,1.6,2.8,2.4,1.7,2,6.11111111111111,6.7,5.6,5.7,5.77777777777778,6.4,6,5.3,5.2,6,6.5,6,1.2,2.5,6.7
"121",10015020,1,4,3,3,2,3,3,2,1,8,7,6,6,7,8,8,7,7,8,6,7,0,2,8
"122",10015040,1.5,3,3,2.5,2.5,2.5,2.5,2.5,2.5,10,8.5,8,6.5,6.5,8,6.5,6,8,7.5,8.5,7.5,0,1.5,6.5
"123",10015050,2.07692307692308,3.15384615384615,3.07692307692308,2.23076923076923,1.84615384615385,2.15384615384615,2.23076923076923,2,2.08333333333333,6.14285714285714,7,6.38461538461539,5.69230769230769,5.30769230769231,7.30769230769231,7.61538461538461,6,5.61538461538461,6.61538461538461,6.07692307692308,6,2.53846153846154,4.53846153846154,6
"124",10015090,2,1,3,3,1,2,2,3,1,8,8,6,8,8,8,8,5,7,7,6,8,0,3,7
"125",10015110,2.5,4,3.5,2,1.5,2,2,2.5,2.5,8,7,7.5,6,7,6,7,7.5,2.5,9,7.5,6.5,0.5,1.5,8.5
"126",10017010,2.33333333333333,3.16666666666667,2.83333333333333,2.33333333333333,1.33333333333333,2,2.4,1.5,2,7.8,7.33333333333333,6.66666666666667,7,5.66666666666667,6.5,7.5,5.66666666666667,7.16666666666667,8,8,6.83333333333333,1.5,3.16666666666667,8.83333333333333
