id,city,district,土地面積,水田0101,旱作0102,果園0103,水產養殖0104,畜牧0105,農業相關設施0106,未細分_02森林使用,針葉林0201,闊葉林0202,竹林0203,混淆林0204,灌木林0205,其他森林利用土地0206,未細分_03交通使用,機場0301,一般鐵路及相關設施0302,高速鐵路及相關設施0303,捷運及相關設施0304,國道0305,省道0306,快速道路0307,一般道路0308,道路相關設施0309,港口0310,未細分_04水利使用,河道0401,堤防0402,溝渠0403,水庫0404,湖泊0405,蓄水池0406,水道沙州灘地0407,水利構造物0408,防汛道路0409,海面0410,未細分_05建築使用,商業0501,純住宅0502,混合使用住宅0503,製造業0504,倉儲0505,宗教0506,殯葬設施0507,其他建築用地0508,政府機關0601,學校0602,醫療保建0603,社會福利設施0604,公用設備0605,環保設施0606,未細分_07遊憩使用,文化設施0701,公園綠地0702,休閒設施0703,礦業及相關設施0801,土石及相關設施0802,鹽業及相關設施0803,未細分_09其他使用,溼地0901,草生地0902,裸露地0903,營建剩餘土石收容相關設施0904,空置地0905
257,雲林縣,元長鄉,7158.72,3705.91,1835.63,24.1,26.73,100.28,54.79,0,0,44.82,13.34,4.45,0,0,0,0,0,7.26,0,0,21.31,10.36,408.97,15.84,0,0,24.32,22.4,122.2,0,0,19.31,1.71,0.18,14.6,0,0,14.68,354.12,3.53,47.85,30.04,17.28,53.31,16.74,1.46,20.11,0,3.15,6.68,4.88,0,0.05,7.2,1.41,0,2.19,0,0,0,22.53,0,0.07,130.98
155,高雄市,內門區,9562.24,7.57,689.22,1845.76,0.59,52.67,26.03,0,0,2216.7,3185.79,150.88,0,2.72,0,0,0,0,0,0,24.07,0,238.25,4.54,0,0,97.18,0.52,68.9,0,0,133.52,1.2,0.23,0,0.04,0.01,8.51,148.67,2.2,2.57,17.06,26.48,48.39,5.07,259.53,27.27,0.03,2.1,1.59,3.37,0,0.09,10.91,2.45,0,0,0,0,0,67.94,58.73,0,40.12
291,屏東縣,內埔鄉,8185.54,8.46,394.61,4054.58,31.25,107.99,50.58,0,1,237.48,56.33,132.15,0,0,0,0,0,0,0,1.53,16.94,0,342.91,11.34,0,0,67.29,21.93,60.83,0.1,0,9.85,0,0.25,4.61,0,0.04,45.82,623.97,14.2,118.31,40.6,29.78,95.65,29.24,118.7,328.78,10.29,6.89,6.21,7.87,0,7.11,31.64,7.19,0,0.19,0,0,0.06,46.77,0,0.24,532.96
39,臺北市,內湖區,3157.87,0,111.27,19.95,0.03,0.29,4.03,0,0,1544.03,60.26,0.09,0,0,0,0,0,0,9.76,29.64,0,6.58,260.54,97.71,0,0,47.49,10.42,3.78,0,16.2,4.1,0.09,4.37,0,0,0,168.6,265.15,108.81,4.1,10.8,12.1,17.78,29.04,13.74,86.28,18.15,1.1,7.3,16.86,0,0.8,133.23,9.6,0,0.54,0,0,0,7.16,0.32,0.63,57.06
192,苗栗縣,公館鄉,7145.23,424.07,859.82,485.46,1.71,2.54,11.36,0,9.52,3224.77,782.26,42.62,0,5.15,0,0,0,0,0,22.52,14.64,24.82,250.75,34.04,0,3.6,87.72,11.87,28.48,0,0,8.3,39.12,0.7,1.35,0,2.1,46.41,296.64,8.52,24.65,18.69,12.3,27.79,13.73,6.46,19.77,0.06,1.21,7.29,3.53,0,3.9,13.14,3.73,2.78,5.92,0,0,0,108.74,2.42,0,161.61
92,臺南市,六甲區,6754.71,1158.14,360.22,814.89,224.89,74.7,42.54,0,0,550.53,1922.68,2.56,0.66,0,0,0,6.42,4.95,0,8.05,14.07,0,206.95,6.88,0,0,36.87,4.64,69.26,397.37,18.58,75.25,0.21,0.37,0.49,0,0,20.09,164.83,5.43,19.87,24.58,9.59,25.8,36.33,8.17,10.88,0.12,1.28,3.41,3.08,0,0,5.46,1.19,0,0,0,0,0,138.11,29.96,0,170.54
268,嘉義縣,六腳鄉,6226.19,934.6,3418.39,71.29,21.32,55.48,79.66,0,0.28,109.88,6.31,5.19,18.87,0,0,0,2.09,0.03,0,0,24.13,0,269.98,4.42,0,0,154.91,78.41,118.45,0,0,59.48,11.3,0.67,39.1,0,0,18.94,256.05,2.74,25.87,31.39,9.22,47.64,22,1.83,21.1,0.03,1.85,5.12,6.05,0,0.1,12.5,8.87,0,1.69,0,0,0,169.39,0,0.04,105.03
152,高雄市,六龜區,19415.84,99.09,493.22,1693.33,6.03,4.26,17.05,0,82.7,8921.44,1789.58,1572.78,1.96,113.41,0,0.08,0,0,0,0,57.21,0,122.03,3.49,0,707.7,137.18,32.99,30.5,0,0,5.03,383.93,0.37,8.11,0,162.96,14.72,116.32,2.21,2.34,7.88,88.11,35.81,2.28,8.12,7.75,0.09,6.68,4.46,0.28,0,0.15,5.14,3.86,0.61,18.76,0,0,0,552.87,630.61,0,73.67
81,臺中市,太平區,12074.73,7.75,475.61,2741.13,0.19,4.78,22.67,0,25.6,5683.28,342.65,7.22,0.02,0,0,0,0,0,0,0,0,7.06,478.35,32.91,0,0,281.56,35.75,36.75,0,0,6.32,63.52,1.77,11.12,0,0,67.46,477.52,98.74,338.19,46.78,31.96,44.21,31.19,42.09,83.29,10.06,2.51,2.51,12.64,0,6.53,46.02,37.59,0,4.3,0,0,0,178.83,33.7,0,189.51
261,嘉義縣,太保市,6689.64,2446.92,1747.6,86.84,32.65,35.64,129.29,0,0,160.87,5.93,2.57,10.15,0,0,0,7.89,14.4,0,16.56,53.86,0.22,347.57,67.9,0,0,15.3,30.07,117.22,0,0,47.25,4.52,0.18,3.89,0,0,35.2,246.4,11.3,150.29,36.61,9.45,28.79,19.42,248,25.05,0.58,1.39,5.3,6.54,0,68.36,29.75,9.87,0,0,0,0,0,52.41,0,0,274.95
