v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v41,vI1,sexgp,agegp,edugp,weight,t
53,2,1,2,1,2,10,0,0,5,10,5,5,5,10,10,10,5,10,5,1,7,0,0,1,0,0,0,0,0,2,2,2,3,2,3,3,3,2,1,15,2,4,1,1.128362925,67000310
45,1,2,2,3,4,8,0,0,7,10,10,8,8,10,6,7,10,5,7,1,7,1,0,0,0,0,0,1,0,2,1,1,4,1,1,3,3,4,2,5,1,5,1,1.202562428,10013080
49,1,1,2,3,4,9,0,0,10,8,8,8,7,10,7,5,8,5,7,1,8,0,0,0,0,0,0,0,0,3,3,4,3,2,3,4,4,3,2,15,2,5,1,1.050220394,10013020
44,1,4,2,1,2,10,0,0,10,10,10,10,10,10,10,10,10,10,10,1,10,0,0,0,0,0,0,0,0,2,2,2,3,3,3,2,2,2,5,15,2,5,1,1.32645396,64000200
39,1,1,5,3,4,7,0,0,8,10,8,10,5,8,10,10,3, ,10,1,10,0,0,0,0,0,0,0,0, ,2, ,3, ,4, , , ,5,15,2,6,1,1.547539118,64000260
80,1,1,1,3,4,5,0,0,10,5,10,10,10,10,10,10,10,10,10,1,10,0,0,0,0,0,0,0,0,3,3,3,3,4,3,4,4,4,1,15,1,1,2,1.630052483,10020010
75,1,2,3,3,4,6,0,0,8,8,10,6,6,7,8,7,8,7,7,1,9,0,0,0,0,0,0,0,0, , , , , ,3,3,2,3,2,15,2,2,2,2.153217902,64000140
73,1,1,3,4,1,10,0,0,10,10,5,4,4,5,2,2,8,10,10,1,5,0,0,0,0,0,0,0,0,2,2,2,4,2,2,3,2,2,2,15,2,2,2,1.648807435,67000020
68,1,3,4,2,4,10,0,0,10,8,10,10,9,9,7,10,8,9,5,1,7,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,2,2,15,2,3,2,1.155889487,64000200
62,1,2,5,2,4,10,0,0,10,10,10,10,5,10,10,5,10,5,5,1,10,0,0,0,0,0,0,0,0,2,2,1,3,1,2,3,3,1,2,15,2,3,2,1.155889487,64000160
65,1,1,1,6,2,0,0,0,3,3,0,0,0,3,5,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,3,2,2,3,3,1,1,15,2,3,2,1.155889487,64000050
61,1,4,5,4,4,8,0,0,7,7,7,5,5,7,8,6,6,8,7,1,8,0,0,0,0,0,0,0,0,2,1,2,2,2,2,2,2,1,2,15,2,3,2,1.155889487,64000080
50,1,6,2,3,4,8,0,0,8,9,10,7,5,10,5,7,0,10,5,1,10,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,2,4,2,15,2,4,2,.622166907,10020010
46,1,2,4,2,4,8,0,0,6,7,6,8,5,7,8,8,6,9,4,1,8,0,0,0,0,0,0,1,0,2,1,2,2,2,2,3,3,3,2,15,1,5,2,.867659502,64000140
47,1,6,2,2,2,10,0,0,10,10,10,8,7,5,6,6,7,7,7,1,6,0,0,0,0,0,0,0,0, ,2, ,3,2,3,2,3, ,2,15,2,5,2,.599943581,10013170
83,1,3,4,3,4,10,0,0,5,8,8,8,7,9,9,7,7,6,5,1,7,0,0,0,0,0,0,0,0,2,2,3,4,1,2,2,4,2,1,15,1,1,3,1.658127771,64000050
86,1,4,3,3,4,7,0,0,6,5,9,6,7,7,7,5,10,8,9,1,10,0,0,0,0,0,0,0,0,3,2,3,4,1,2,4,3,2,1,15,2,1,3,1.44807418,64000050
75,1,2,4,2,4,8,0,0,8,10,8,6,8,8,6,6,7,9,8,1,9,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,2,2,15,2,2,3,1.239642433,67000270
51,1,2,2,2,4,9,0,0,7,5,7,5,6,7,7,7,8,6,8,2, ,0,0,0,0,0,0,0,0,2,1,3,4,2,4,3,2,1,2,5,2,4,1,.923207757,10002060
54,1,2,2,1,2,10,0,0,10,10,10,10,5,10,5,5,10,10,10,3, ,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,2,5,5,2,4,1,1.019257646,68000070
50,1,1,5,1,4,10,0,0,10,8,7,5,5,10,8,5,10,5,8,3, ,0,0,0,0,0,0,0,0,1,2,2,4,1,1,2,1,1,2,5,2,4,1,1.263770443,10004010
48,2,1,5,6,5,0,0,0,0,10,5,7,5,5,10,0,0,10,0,2, ,1,0,0,0,0,1,1,0,1,1,1,1,1,2,3,2,2,2,5,1,5,1,1.043115965,65000010
45, ,2,1,1,2,10,0,0,10,10,10,5,10,5,7,10,5,10,5,3, ,0,0,0,0,0,0,0,0, , , ,3,2,2,3,2,1,2,5,2,5,1,.831045444,10002070
48,1,5,2,2,4,7,0,0,10,8,8,7,8,8,10,10,10,10,10,3, ,0,0,0,0,0,0,0,0, , , ,4, , , ,3,3,2,15,2,5,1,.917506831,68000080
46,1,4,4,3,2,8,0,0,8,7,8,8,6,9,10,8,7,10,8,3, ,0,0,0,0,0,0,1,0,3,2,3,3,3,3,3,3,2,2,15,2,5,1,.917506831,68000050
47,1,6,3,1,4,8,0,0,10,9,10,9,8,8,10,9,8,8,8,3, ,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,2,5,2,5,1,.910972798,65000170
42,2,1,1, , ,10,0,0, , ,10, ,6,8,8,8, , ,8,3, ,0,0,0,0,0,0,0,0,3,3,3,4,3,3,3,3,3,5,15,2,5,1,.917506831,68000080
43,1,2,2,2,3,10,0,0,10,10,10,10,10,10,10,10,10,10,5,3, ,0,0,0,0,0,0,0,0,3,3,3,3,3,3,2,3,2,2,15,2,5,1,.910972798,65000150
42,1,6,5,6,4,9,0,0,7,8,7,8,8,7,7,7,8,10,7,3, ,0,0,1,0,0,0,0,0,2,2,3,2,1,2,3,1,2,5,15,2,5,1,.917506831,68000050
27,1,3,4,3,4,10,0,0,10,10,6,10,6,8,10,10,10,8,8,3, ,0,0,1,0,0,0,0,0,3,2,3,3,2,3,3,3,3,4,5,1,6,1,1.225704963,68000050
29,2,5,2,3,4,10,0,0,10,10,10,10,10,10,10,10,10,10,10,3, ,0,0,0,0,0,0,0,0,2,2,2,2,2,4,4,4,4,2,15,1,6,1,1.51974303,10004020
34,1,1,2,1,4,9,0,0,10,10,10,9,10,10,9,9, ,10,10,3, ,0,0,0,0,0,0,0,0, , , , , ,3,3,4, ,5,5,2,6,1,.969558969,10002010
39,1,3,5,4,3,8,0,0,10,8,8,7,8,8,7,8,7,8,8,3, ,0,0,0,0,0,0,0,0, , , , , ,3,3, ,3,5,15,2,6,1,1.070431205,68000070
36,2,2,1,1, ,8,0,0,5,5,6,5,6,6,0,5, ,6,5,2, ,0,0,0,0,0,0,0,0,3,2,2, ,3,2,3,3,4,5,5,2,6,1,1.062808121,65000020
28, ,1,1,1,1,10,0,0,10,10,5,5,6,5,10,5,10,5,5,2, ,0,0,0,0,0,0,0,1,3,3,3,3,2,3,3,3,3,2,15,2,6,1,1.713795979,10018030
39,1,5,1,1,3,5,0,0,7,5,5,7,7,5,7,7,7,7,8,2, ,0,0,0,0,0,0,0,0,3,3,4,3,2,3,3,3,3,2,15,2,6,1,1.062808121,65000030
33,2,1,1,1,4,10,0,0,5,10,6,5,6,10,0,0,10,6,0,3, ,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,5,2,6,1,1.444052071,10017030
36,1,6,6,4,2,5,0,0,10,10,10,10,10,8,10,6,10,10,10,3, ,0,0,1,0,0,0,0,0,2,2,3,2,2,3,4,4,2,5,15,2,6,1,1.070431205,68000040
38,1,2,2,3,2,10,0,0,10,9,9,7,8,8,10,9,7,10,7,3, ,0,0,0,0,0,0,1,0,2,1,2,3,2,2,1,2,1,2,15,2,6,1,2.253400304,63000060
