"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v41","vI1","sexgp","agegp","edugp","weight","t"
50,1,1,2.94,1,4,10,0,0,10,8,7,5,5,10,8,5,10,8.28,8,3,8.19,0,0,0,0,0,0,0,-4.72191730160887e-17,1,2,2,1.99,1,2.1,2,1,1,2,5,2,4,1,1.263770443,42214376.8
48,1.26,1,5,6,5,6.5,0,0,0,10,5,5.44,5,5,10,0,0,10,0,2,6.2,0.34,0,0,0,0,1,1,0,1,1,1,1,1,2.05,3,2.63,2.01,2,5,1,5,1,1.043115965,65000010
45,1.23,2,1,1,2,10,0,0,10,10,8.23,5,10,5,7,10,5,7.8925,5,3,8.03,0,0,0,0,0,0,0.12,0,1.79,1.67,1.85,3,2,2.24,3,2,1,2,5,2,5,1,1.13746479789,10002070
48,1,5,2,2,4,7,0,0,8.71,8,8.83,8.34,8,8,10,10,10,8.91,10,3,9.19,0,0,0,0,0,0,0,0,2.99,2.82,3.03,4,3.04333333333333,3.31,3.34,3,3,2,15,2,5,1,0.917506831,68000080
46,1,4,4,3,2,8,0,0,8,7,8,8,6,9,10,8,7,10,8,3,8.05,0.0299999999999999,0,0,0,0,0,1,0,3,2,3,3,2.42,3,3,3,2,2,15,2,5,1,0.917506831,45433820.7
47,1,6,3,1,4,9.01,0,0,10,9,10,9,8,8,10,9,8,8,8,2.37,8.58,0,0,0,0,0,0,0,-6.02035782337751e-17,3,3,3,3,3,3,3,3,3,2,5,2,5,1.25,0.910972798,65000170
42.1,2,1,1,2.23,3.28,7.96,0,0,7.88,7.8,10,6.87,6,8,8,8,7.875,7.69,8,3,8.4,0,0,0,0,0,0,0,0,3,3,3,3.06,3,3,3,3,3,5,19.3,2,5,1.21,0.917506831,68000080
43,1,2,2,2.53,3.5,10,0,0,10,10,10,9.38,10,10,10,10,9.46,10,5,3,9.4,0,0,0,0,0,0,0,0,3,3,2.725,3,2.43,3,2,3,2,2,15,2,5,1,0.910972798,65000150
42,1,6,5,6,4,9,0,0.7,7,8,7.8,8,8,7,7,7,8.07,10,7,3,8.44,0,0,1,0,0,0,0,0,2,2,3,2,1.6,2,3,1,2,5,15,2,5,1,0.917506831,68000050
27,1,3,4,3,4,10,1.37,0,10,10,6,10,6,8.09,10,10,10,8,8,3,8.34,0,0,1,0.06,0,0,0,0,3,2,3,3,2,3,3,3,3,4,5,1.62,6,1,1.225704963,68000050
29,2,5,2,3,4,10,0,0,10,10,10,10,10,10,10,9.38,10,10,9.34,3,9.74,0,0,0,0,0,0,0,0,2,2,2,2,2.38,4,4,4,4,2,15,1,6,1,1.51974303,39854420.3
34,1,1,2,1,4,9,0,0,10,10,10,9,10,10,9,9,9.34,9.51,10,3,9.33,0.0499999999999999,0,0,0,0,0,0,-4.32032881692024e-17,2.28,2.24,2.88,3.2,2.44,3,3,3.03,2.7,5,5,2,6,1,0.969558969,10002010
39,1,3,5,4,3,8,0,0,10,8,8,7,8,8,7,8,8.25,8,8,3,8.27,0,0,0,0.00999999999999996,0,0.0199999999999999,0,0,2.4,2.06,2.71,2.91,2.44,3,3,3,3,5,15,1.82,6,1,1.070431205,68000070
36,2,2,1,1,2.82,8,0,2.1,5.29,5,6,5,4.71,6,0,5,5.18,6,5,2,6.33,0,0,0,0.00999999999999996,0,0,0,-3.28643362523806e-17,2.04,2,2,2.62,3,2,3,3,4,5,5,2,6,1,1.062808121,65000020
28,1.46,1,1,2.03,1,10,0,1.9,10,10,5,5,6.24,5,10,5,10,5,5,2,7.31,0,0,0,0,0,0.16,0,1,3,3,3,3,2,3,3,3,3,2,15,2,5.11,1.21,1.713795979,10018030
